STATE,COUNTY,GROCPC,SNAPStoresPERTHO,SNAPRedemp,AMB_PAR06,PCT_FREE_LUNCH,PCT_REDUCED_LUNCH,PC_FRUVEG,PC_SNACKS,PC_SODA,PC_MEAT,PC_FATS,PC_PREPFOO,MILK_PRICE,SODA_PRICE,PCT_DIABET,PCT_OBESE_ADULTS,PCT_Child_OBESITY,PctNHWhite,PctNHBlack,PctHisp08,PctNHAsian,PctNHNA08,Median_Inc,Percent_Poverty,metro
Indiana,Orange,0.306,0.818,184051,89,30.4,12.4,172,112,74,74,18,292,0.94,0.99,9.5,29.5,13.3,96.8,0.9,1.1,0.2,0.3,38441,15.9,0
Indiana,Owen,0.089,0.536,159312,83,30.1,10.1,180,123,71,68,19,315,0.82,0.96,9.4,29.6,13.6,97,0.5,1.1,0.2,0.4,42752,13.4,1
Indiana,Parke,0.233,0.466,114087,86,34.2,10,180,123,71,68,19,315,0.82,0.96,9.1,28.6,9.7,94.1,3.6,0.9,0.2,0.3,41907,16.7,0
Indiana,Perry,0.211,0.475,257358,82,24.8,8.2,188,120,70,72,23,310,0.8,0.96,9.3,28.5,9.3,95.4,2.5,1.2,0.2,0.2,48039,11.9,0
Indiana,Pike,0.318,0.716,67000,99,22.1,12.3,188,120,70,72,23,310,0.8,0.96,9.8,29.6,15.1,97.8,0.5,0.9,0.2,0.1,45825,10.9,0
Indiana,Porter,0.081,0.425,194590,91,17.6,6.8,205,132,69,97,17,328,0.87,0.93,9,28.6,12.6,87.8,3,6.9,1.1,0.2,62676,8.7,1
Indiana,Posey,0.114,0.46,95965,89,18.1,6.7,188,120,70,72,23,310,0.8,0.96,9.7,29,11.9,96.9,1.2,0.7,0.3,0.3,54320,10.1,1
Indiana,Pulaski,0.218,0.802,56386,82,25,9.9,188,120,70,72,23,310,0.8,0.96,9.4,29.1,17.8,95.5,1.4,1.9,0.4,0.2,42709,12.9,0
Indiana,Putnam,0.108,0.35,259412,105,24.4,10.4,180,123,71,68,19,315,0.82,0.96,8.4,28.1,13.1,93.1,3.4,1.5,0.8,0.3,50463,11.7,1
Indiana,Randolph,0.194,0.581,161147,81,30.3,10.3,180,123,71,68,19,315,0.82,0.96,9.8,28.6,9.1,95.9,0.5,2.2,0.3,0.2,42279,13.5,0
Indiana,Ripley,0.439,0.584,103040,81,21.1,8.6,185,123,70,66,20,315,0.81,0.93,9.1,28.1,14.2,96.9,0.4,1.4,0.5,0.3,51603,10.4,0
Indiana,Rush,0.286,0.694,122461,81,28,7.6,180,123,71,68,19,315,0.82,0.96,9.4,29.2,13.2,96.6,0.8,0.9,0.6,0.2,45882,10.9,0
Indiana,St. Joseph,0.139,0.502,270582,97,38.9,6.9,188,120,70,72,23,310,0.8,0.96,9.4,29.5,13,78.1,11.8,6.4,1.7,0.3,43931,14.6,1
Indiana,Scott,0.211,0.846,244560,92,36.2,8.2,172,112,74,74,18,292,0.94,0.99,9,28.9,15.2,97.3,0.4,1.3,0.2,0.2,41304,16.4,0
Indiana,Shelby,0.228,0.407,252366,82,22.8,7.5,180,123,71,68,19,315,0.82,0.96,9,29.9,19.1,94.3,1,2.8,1,0.2,52700,10.8,1
Indiana,Spencer,0.197,0.696,63114,74,19.3,7.5,188,120,70,72,23,310,0.8,0.96,9.5,29,16.5,96.1,0.7,2.2,0.3,0.2,53781,9.3,0
Indiana,Starke,0.298,0.803,148448,83,35,10.5,188,120,70,72,23,310,0.8,0.96,9.4,28.8,17,95.1,0.5,3,0.3,0.2,40950,15.4,0
Indiana,Steuben,0.36,0.48,205006,89,24.3,8.3,188,120,70,72,23,310,0.8,0.96,9.3,29.2,14,94.8,0.6,2.9,0.6,0.3,48403,9.2,0
Indiana,Sullivan,0.234,0.797,102643,89,31,11.5,180,123,71,68,19,315,0.82,0.96,8.6,27.9,16.4,93,4.6,1,0.2,0.3,41784,15.2,1
Indiana,Switzerland,0.207,0.516,74011,73,29.8,10.6,185,123,70,66,20,315,0.81,0.93,9.9,28.8,13.4,97.6,0.6,1.1,0.1,0.1,42209,16.3,0
Indiana,Tippecanoe,0.13,0.451,223832,91,24.5,7,180,123,71,68,19,315,0.82,0.96,6.9,27.6,15.2,82.6,3.5,7.3,5.3,0.2,45330,18.2,1
Indiana,Tipton,0.125,0.314,127977,87,16.2,7.1,180,123,71,68,19,315,0.82,0.96,10.1,28.9,15.6,96.6,0.4,1.8,0.5,0.2,54089,8.7,1
Indiana,Union,0.139,0.559,72259,82,21.3,11.7,185,123,70,66,20,315,0.81,0.93,9.3,29,12.6,97.3,0.9,0.7,0.2,0.3,42272,11.9,0
Indiana,Vanderburgh,0.166,0.67,218048,93,39.3,10.6,188,120,70,72,23,310,0.8,0.96,9,27.3,12.8,87.5,8.5,1.3,1,0.2,41731,16.9,1
Indiana,Vermillion,0.244,0.924,115869,80,29.5,10.3,180,123,71,68,19,315,0.82,0.96,9.8,30.5,14.1,96.8,0.8,1.1,0.1,0.2,42707,12.2,1
Indiana,Vigo,0.189,0.67,258125,85,36.5,9.7,180,123,71,68,19,315,0.82,0.96,9.2,30.9,16.1,88.1,6.9,1.6,1.6,0.3,39250,19.7,1
Indiana,Wabash,0.091,0.764,111017,89,25.6,8.5,180,123,71,68,19,315,0.82,0.96,9.6,29,14.9,96,0.6,1.4,0.5,0.7,46192,12,0
Indiana,Warren,0.236,0.234,52745,99,15.9,8.1,180,123,71,68,19,315,0.82,0.96,10.1,29.9,14.9,97.8,0.2,1,0.4,0.2,52888,8.8,0
Indiana,Warrick,0.175,0.468,96115,85,15.2,7.2,188,120,70,72,23,310,0.8,0.96,8.9,28.9,17.7,95.4,1.5,1.2,1.1,0.1,55960,7.7,1
Indiana,Washington,0.215,0.429,193084,82,31.5,11.2,172,112,74,74,18,292,0.94,0.99,9.2,28.3,14.4,97.5,0.4,1,0.3,0.1,42017,13.9,1
Indiana,Wayne,0.205,0.516,293480,93,34.4,9.8,180,123,71,68,19,315,0.82,0.96,9.9,27.6,15.9,90.4,5,2.1,0.6,0.2,40783,17.2,0
Indiana,Wells,0.143,0.429,131791,81,15.7,8.5,188,120,70,72,23,310,0.8,0.96,9.2,29.7,10.3,96.5,0.3,1.9,0.3,0.2,51730,8.6,1
Indiana,White,0.21,0.798,127573,97,25.3,10.7,180,123,71,68,19,315,0.82,0.96,9.7,29.1,14.3,90.5,0.3,7.9,0.3,0.3,45114,11.4,0
Indiana,Whitley,0.246,0.367,179182,85,12.8,7.7,188,120,70,72,23,310,0.8,0.96,9.2,29.2,13.8,97,0.5,1.1,0.4,0.3,49996,7.5,1
Iowa,Adair,0.394,1.332,48666,85,21.8,7.1,174,120,66,68,19,315,0.89,0.98,9,28.1,17.3,97.8,0.1,1,0.5,0.1,44824,10,0
Iowa,Adams,0.245,0.743,50537,91,24.9,18.8,174,120,66,68,19,315,0.89,0.98,8.7,28.5,10.5,98,,0.9,0.2,0.5,40393,11.2,0
Iowa,Allamakee,0.483,0.757,81011,80,27,11.7,169,122,64,61,21,298,0.88,0.97,8.3,27.3,17.5,90.5,0.2,8,0.3,0.2,39049,12.6,0
Iowa,Appanoose,0.462,1.167,171364,88,34.7,9.2,174,120,66,68,19,315,0.89,0.98,9.1,27.7,15.3,96.7,0.6,1.2,0.5,0.2,33842,18.1,0
Iowa,Audubon,0.33,0.995,21900,72,21.8,10.7,174,120,66,68,19,315,0.89,0.98,9,28.8,12.9,97.9,0.2,1,0.2,0.1,42206,11.1,0
Iowa,Benton,0.189,0.641,73990,87,18.1,6.1,169,122,64,61,21,298,0.88,0.97,7,27.9,16.1,97.6,0.5,0.8,0.2,0.2,57029,8,1
Iowa,Black Hawk,0.165,0.88,154108,92,30.5,7.7,169,122,64,61,21,298,0.88,0.97,7.9,26.6,14,86.4,8.1,2.8,1.2,0.2,45647,14.7,1
Iowa,Boone,0.152,0.911,75502,91,20.6,7.2,174,120,66,68,19,315,0.89,0.98,8.1,30.3,15.7,97.1,0.6,1.3,0.4,0.2,48026,9.9,0
Iowa,Bremer,0.211,0.718,76780,80,13.1,5.1,169,122,64,61,21,298,0.88,0.97,7.4,27.1,13.1,97.2,0.7,0.8,0.6,0.1,56456,7.1,1
Iowa,Buchanan,0.239,0.808,80341,87,17.3,9.1,169,122,64,61,21,298,0.88,0.97,7.7,27.5,13.3,97.5,0.4,0.9,0.4,0.2,50220,10,0
Iowa,Buena Vista,0.255,0.761,126346,83,35.1,12.2,174,120,66,68,19,315,0.89,0.98,8.3,28.2,18.4,72.4,1.8,20.8,4.1,0.1,44152,12.3,0
Iowa,Butler,0.341,1.161,12830,83,16.5,8.7,169,122,64,61,21,298,0.88,0.97,8.5,26.7,15.4,97.9,0.2,0.9,0.3,0.1,47798,9.3,0
Iowa,Calhoun,0.402,0.809,26953,72,22.9,8.5,174,120,66,68,19,315,0.89,0.98,9.1,29.1,12.6,96.6,1.1,1.4,0.2,0.2,43799,13.2,0
Iowa,Carroll,0.382,0.669,109232,83,21.7,11,174,120,66,68,19,315,0.89,0.98,8.7,26.4,13.5,97.5,0.3,1.3,0.4,0.1,48792,9.1,0
Iowa,Cass,0.505,1.301,99641,78,25.4,10,174,120,66,68,19,315,0.89,0.98,9,27.7,18.7,97.2,0.3,1.5,0.3,0.2,40716,13.9,0
Iowa,Cedar,0.334,0.996,23674,82,13.1,5.7,169,122,64,61,21,298,0.88,0.97,7.6,27.6,7.2,96.9,0.4,1.5,0.4,0.2,55566,7.4,0
Iowa,Cerro Gordo,0.182,0.982,153155,83,22.7,8.8,169,122,64,61,21,298,0.88,0.97,9.3,26.1,16,93.9,1.1,3.1,0.7,0.2,45023,13.1,0
Iowa,Cherokee,0.257,0.952,54891,82,21.3,10.1,169,122,64,61,21,298,0.88,0.97,9.1,27.4,13.8,96.5,0.5,1.8,0.4,0.2,45349,8.6,0
Iowa,Chickasaw,0.328,1.238,29205,74,15.2,8.8,169,122,64,61,21,298,0.88,0.97,8.4,27.3,10.8,97.4,0.1,1.3,0.4,,42814,10.4,0
Iowa,Clarke,0.334,1.218,136180,87,32.4,9.4,174,120,66,68,19,315,0.89,0.98,8.4,26.7,12.8,91,0.3,7.1,0.6,0.4,43556,11.2,0
Iowa,Clay,0.18,0.719,139078,86,23.1,8.9,169,122,64,61,21,298,0.88,0.97,8.3,28.5,15.7,95.4,0.3,2.8,0.8,0.1,44746,10.8,0
Iowa,Clayton,0.34,0.74,28565,90,20.3,10.6,169,122,64,61,21,298,0.88,0.97,8.3,28.4,15.5,97.7,0.2,1.2,0.2,0.2,46462,10.8,0
Iowa,Clinton,0.183,0.858,172428,87,28.8,7.7,169,122,64,61,21,298,0.88,0.97,9.2,27.9,14.6,93.7,2.3,1.9,0.6,0.2,46851,12,0
